                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                 1.4802,                 1.5509,                 1.9736,                0.81767,                0.71962,                0.80924,                0.50975,                  1.314,                 1.1922,                 1.8793,             0.00051177,             0.00051177,             0.00051177
                     73,                 1.5038,                 1.5375,                 1.9839,                0.84383,                0.71812,                0.80786,                0.48986,                 1.3732,                 1.2575,                 1.9329,             0.00049527,             0.00049527,             0.00049527
                     74,                  1.508,                 1.5542,                 1.9909,                0.78681,                0.67786,                0.77442,                0.48597,                 1.3082,                 1.2442,                 1.8623,             0.00047876,             0.00047876,             0.00047876
                     75,                 1.4992,                 1.5449,                 1.9897,                0.73012,                0.69816,                0.78572,                0.48098,                 1.3454,                 1.2506,                 1.8787,             0.00046226,             0.00046226,             0.00046226
                     76,                 1.5346,                 1.5315,                 1.9947,                0.77985,                0.68884,                0.77361,                0.49556,                 1.2809,                 1.2235,                 1.8324,             0.00044576,             0.00044576,             0.00044576
                     77,                 1.4636,                 1.4875,                 1.9495,                0.85583,                0.69097,                0.80735,                0.51585,                 1.2734,                 1.1845,                 1.8208,             0.00042925,             0.00042925,             0.00042925
                     78,                 1.4929,                 1.5301,                 1.9674,                 0.7716,                0.69572,                 0.7957,                0.49401,                 1.2756,                 1.2681,                 1.8517,             0.00041275,             0.00041275,             0.00041275
                     79,                 1.4983,                 1.4584,                 1.9685,                0.82619,                0.71651,                0.82128,                0.51724,                  1.306,                 1.1701,                 1.8546,             0.00039625,             0.00039625,             0.00039625
                     80,                 1.4761,                 1.4923,                 1.9663,                0.81518,                0.74038,                0.82135,                0.52968,                 1.2404,                 1.1715,                 1.8114,             0.00037974,             0.00037974,             0.00037974
                     81,                  1.447,                 1.5004,                 1.9384,                0.84771,                0.70636,                0.80545,                0.51951,                 1.2634,                 1.1469,                 1.8246,             0.00036324,             0.00036324,             0.00036324
                     82,                 1.4677,                 1.4671,                 1.9542,                0.84871,                0.71151,                0.80458,                0.52605,                 1.2228,                  1.125,                 1.7922,             0.00034674,             0.00034674,             0.00034674
                     83,                 1.4231,                 1.4427,                 1.9279,                0.83794,                0.73181,                0.82866,                0.52494,                 1.2952,                 1.1078,                 1.8544,             0.00033023,             0.00033023,             0.00033023
                     84,                 1.4757,                 1.5355,                  1.997,                0.80985,                0.73557,                0.82119,                0.53796,                 1.2317,                 1.1677,                 1.7963,             0.00031373,             0.00031373,             0.00031373
                     85,                 1.4489,                 1.4687,                  1.939,                0.78946,                0.73615,                0.81981,                0.53695,                 1.2243,                 1.1532,                  1.782,             0.00029723,             0.00029723,             0.00029723
                     86,                 1.4374,                 1.4585,                 1.9436,                0.87179,                0.75453,                 0.8508,                0.56295,                 1.2167,                 1.0403,                 1.7747,             0.00028072,             0.00028072,             0.00028072
                     87,                 1.5028,                 1.5234,                 1.9731,                0.86752,                 0.7731,                0.86454,                0.56843,                 1.2128,                 1.0264,                 1.7803,             0.00026422,             0.00026422,             0.00026422
                     88,                 1.4217,                 1.4104,                 1.9081,                0.87144,                0.73682,                0.84917,                0.56547,                 1.1654,                 1.0295,                 1.7291,             0.00024772,             0.00024772,             0.00024772
                     89,                 1.4287,                 1.3891,                  1.911,                0.84085,                0.78153,                0.85798,                0.56433,                 1.1897,                  1.029,                  1.741,             0.00023121,             0.00023121,             0.00023121
                     90,                 1.4445,                 1.4511,                 1.9397,                 0.8713,                0.74355,                 0.8555,                0.57056,                 1.1702,                 1.0074,                 1.7347,             0.00021471,             0.00021471,             0.00021471
                     91,                 1.3324,                 1.3534,                 1.8988,                0.76369,                0.69491,                 0.7912,                  0.497,                 1.3033,                 1.2259,                 1.8253,             0.00019821,             0.00019821,             0.00019821
                     92,                 1.3614,                 1.2481,                 1.9325,                0.83475,                0.74977,                0.85533,                0.56563,                 1.2127,                 1.0327,                 1.7562,              0.0001817,              0.0001817,              0.0001817
                     93,                 1.2956,                 1.1684,                 1.8649,                 0.7896,                0.73692,                0.84384,                0.56067,                 1.1929,                   1.06,                 1.7469,              0.0001652,              0.0001652,              0.0001652
                     94,                 1.2763,                 1.1598,                 1.8396,                0.85827,                0.72212,                0.84877,                 0.5675,                 1.1781,                 1.0337,                  1.735,              0.0001487,              0.0001487,              0.0001487
                     95,                 1.2585,                 1.1706,                 1.8195,                0.77303,                0.76579,                0.83938,                0.57033,                 1.1704,                 1.0212,                 1.7151,             0.00013219,             0.00013219,             0.00013219
                     96,                 1.2325,                 1.1497,                 1.7888,                0.83778,                0.75837,                0.86412,                0.59058,                 1.1522,                0.99384,                 1.7126,             0.00011569,             0.00011569,             0.00011569
                     97,                  1.266,                  1.128,                 1.8481,                0.87473,                0.74478,                0.87456,                0.59707,                 1.1349,                 0.9685,                 1.6849,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                 1.2318,                 1.1167,                 1.8101,                0.87576,                 0.7713,                0.87407,                0.59674,                 1.1482,                0.94942,                 1.7053,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                 1.2548,                 1.0982,                 1.8059,                0.85183,                0.79175,                0.87625,                0.60365,                 1.1181,                 0.9466,                 1.6773,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                 1.2387,                 1.1127,                 1.8024,                0.86145,                0.76511,                0.87819,                0.61026,                 1.1047,                0.94542,                 1.6607,             4.9677e-05,             4.9677e-05,             4.9677e-05
