                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.79644,                0.44761,                 1.0264,                0.85818,                 0.9003,                0.89679,                0.64667,                 1.1041,                0.66194,                 1.1845,               0.003961,               0.003961,               0.003961
                     63,                0.82392,                0.46784,                 1.0448,                0.87569,                 0.8603,                0.87051,                0.62736,                 1.0805,                0.69001,                 1.1758,               0.003862,               0.003862,               0.003862
                     64,                0.79878,                0.45372,                 1.0329,                0.87001,                0.87219,                0.86793,                0.63515,                   1.08,                0.70141,                 1.1777,               0.003763,               0.003763,               0.003763
                     65,                0.79231,                0.45454,                 1.0379,                0.89647,                0.85809,                0.88131,                0.63043,                 1.0928,                 0.6858,                 1.1715,               0.003664,               0.003664,               0.003664
                     66,                0.81042,                0.46204,                 1.0374,                0.87081,                0.88006,                0.87272,                0.62199,                 1.0855,                0.67553,                 1.1667,               0.003565,               0.003565,               0.003565
                     67,                0.77914,                0.46086,                 1.0117,                0.86712,                0.88179,                0.86914,                0.62391,                 1.0952,                0.68355,                 1.1866,               0.003466,               0.003466,               0.003466
                     68,                0.79146,                 0.4602,                 1.0358,                0.87309,                0.86069,                0.86616,                 0.6338,                 1.0833,                 0.7128,                  1.174,               0.003367,               0.003367,               0.003367
                     69,                0.79399,                0.45547,                 1.0367,                0.87162,                 0.8782,                0.87156,                0.63262,                 1.0921,                 0.7111,                 1.2023,               0.003268,               0.003268,               0.003268
                     70,                0.77599,                0.44485,                 1.0209,                0.88959,                 0.8753,                0.88119,                0.64237,                  1.099,                0.68566,                 1.1957,               0.003169,               0.003169,               0.003169
                     71,                0.74424,                0.45015,                 1.0089,                0.86542,                0.88878,                 0.8843,                0.64093,                  1.094,                0.67598,                 1.1929,                0.00307,                0.00307,                0.00307
                     72,                0.75312,                 0.4241,                  1.018,                0.88061,                0.88862,                0.88448,                0.63132,                 1.0969,                0.67095,                 1.1932,               0.002971,               0.002971,               0.002971
                     73,                0.74488,                0.43126,                 1.0254,                0.88527,                0.88257,                0.87678,                0.63486,                 1.0959,                0.67924,                 1.1867,               0.002872,               0.002872,               0.002872
                     74,                0.75494,                0.41934,                 1.0127,                0.90139,                0.89547,                0.88194,                0.63539,                 1.1064,                0.66862,                 1.1911,               0.002773,               0.002773,               0.002773
                     75,                0.69839,                0.40323,                0.99518,                0.89411,                0.91191,                0.88362,                0.63453,                 1.0941,                0.65113,                 1.1779,               0.002674,               0.002674,               0.002674
                     76,                0.74885,                0.41568,                 1.0152,                 0.8843,                0.90136,                0.90128,                0.65058,                 1.0866,                 0.6272,                 1.1733,               0.002575,               0.002575,               0.002575
                     77,                0.70569,                 0.4261,                 1.0036,                0.89383,                 0.9063,                0.90793,                 0.6585,                 1.0775,                  0.623,                 1.1632,               0.002476,               0.002476,               0.002476
                     78,                 0.6749,                0.40274,                 1.0056,                0.89829,                0.90319,                0.90919,                0.65676,                 1.0736,                0.62284,                 1.1642,               0.002377,               0.002377,               0.002377
                     79,                0.72726,                0.42097,                 1.0141,                0.90303,                0.89186,                0.90024,                0.64345,                 1.0922,                0.64003,                 1.1798,               0.002278,               0.002278,               0.002278
                     80,                0.70675,                0.38918,                0.98204,                0.90208,                0.88733,                0.88974,                0.64819,                  1.068,                0.63915,                 1.1639,               0.002179,               0.002179,               0.002179
                     81,                 0.7034,                0.40123,                0.99444,                   0.88,                0.91733,                 0.8927,                0.65201,                 1.0712,                0.62748,                 1.1682,                0.00208,                0.00208,                0.00208
                     82,                0.72145,                0.40129,                 1.0053,                0.87633,                0.92212,                0.89709,                0.64825,                 1.0756,                0.63091,                 1.1755,               0.001981,               0.001981,               0.001981
                     83,                0.71222,                0.40379,                0.99521,                0.87676,                0.92616,                0.89264,                0.64668,                  1.084,                0.61922,                  1.189,               0.001882,               0.001882,               0.001882
                     84,                0.69767,                0.40341,                0.99111,                 0.8849,                0.90452,                0.89111,                0.64327,                 1.0889,                0.62478,                 1.1882,               0.001783,               0.001783,               0.001783
                     85,                0.67824,                 0.4122,                0.99603,                0.89032,                0.87266,                0.89065,                0.64678,                 1.0941,                0.62868,                 1.1851,               0.001684,               0.001684,               0.001684
                     86,                0.70248,                0.39675,                0.97929,                0.89323,                0.86711,                0.88645,                0.64444,                 1.1029,                0.64259,                 1.1892,               0.001585,               0.001585,               0.001585
